* Texas Instruments Data Flash File
* File created Thu Jan 25 22:30:21 2024
*
* Device Number 4500
* Firmware Version 2.08
* Build Number 50
* Order Number 0
*
* bqz Device Number 4500
* bqz Firmware Version 2.08
* bqz Build Number 50
*
* Field Order: Class name, Subclass name, Parameter name, Parameter Value, Display Units
"Settings","Configuration","Charging Configuration","00","hex"
"Settings","Configuration","FET Options","21","hex"
"Settings","Configuration","Sbs Gauging Configuration","05","hex"
"Settings","Configuration","Sbs Configuration","20","hex"
"Settings","Configuration","Auth Config","00","hex"
"Settings","Configuration","Power Config","0006","hex"
"Settings","Configuration","IO Config","00","hex"
"Settings","Configuration","LED Configuration","00d0","hex"
"Settings","Configuration","Temperature Enable","05","hex"
"Settings","Configuration","Temperature Mode","01","hex"
"Settings","Configuration","DA Configuration","8097","hex"
"Settings","Configuration","SOC Flag Config A","0c23","hex"
"Settings","Configuration","SOC Flag Config B","23","hex"
"Settings","Configuration","Balancing Configuration","05","hex"
"Settings","Configuration","IT Gauging Configuration","d1df","hex"
"Settings","Configuration","IT Gauging Ext","009a","hex"
"Settings","Protection","Protection Configuration","02","hex"
"Settings","Protection","Enabled Protections A","ff","hex"
"Settings","Protection","Enabled Protections B","7f","hex"
"Settings","Protection","Enabled Protections C","41","hex"
"Settings","Protection","Enabled Protections D","0d","hex"
"Settings","Permanent Failure","Enabled PF A","00","hex"
"Settings","Permanent Failure","Enabled PF B","00","hex"
"Settings","Permanent Failure","Enabled PF C","00","hex"
"Settings","Permanent Failure","Enabled PF D","00","hex"
"Settings","AFE","AFE Protection Control","70","hex"
"Settings","AFE","ZVCHG Exit Threshold","1800","mV"
"Settings","Manufacturing","Mfg Status init","0038","hex"
"Advanced Charge Algorithm","Temperature Ranges","T1 Temp","0.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T2 Temp","10.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T5 Temp","20.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T6 Temp","40.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T3 Temp","45.0","°C"
