* Texas Instruments Data Flash File
* File created Wed Dec 18 18:16:03 2024
*
* Device Number 4500
* Firmware Version 2.08
* Build Number 50
* Order Number 0
*
* bqz Device Number 4500
* bqz Firmware Version 2.08
* bqz Build Number 50
*
* Field Order: Class name, Subclass name, Parameter name, Parameter Value, Display Units
"Calibration","Current Offset","CC Auto Config","03","hex"
"Calibration","Current Offset","CC Auto Offset","0","-"
"Settings","Configuration","Charging Configuration","00","hex"
"Settings","Configuration","FET Options","21","hex"
"Settings","Configuration","Sbs Gauging Configuration","05","hex"
"Settings","Configuration","Sbs Configuration","20","hex"
"Settings","Configuration","Auth Config","00","hex"
"Settings","Configuration","Power Config","0006","hex"
"Settings","Configuration","IO Config","00","hex"
"Settings","Configuration","LED Configuration","00d0","hex"
"Settings","Configuration","Temperature Enable","09","hex"
"Settings","Configuration","Temperature Mode","01","hex"
"Settings","Configuration","DA Configuration","0017","hex"
"Settings","Configuration","SOC Flag Config A","0c23","hex"
"Settings","Configuration","SOC Flag Config B","23","hex"
"Settings","Configuration","Balancing Configuration","05","hex"
"Settings","Configuration","IT Gauging Configuration","d1df","hex"
"Settings","Configuration","IT Gauging Ext","001a","hex"
"Settings","Fuse","PF Fuse A","00","hex"
"Settings","Fuse","PF Fuse B","00","hex"
"Settings","Fuse","PF Fuse C","00","hex"
"Settings","Fuse","PF Fuse D","00","hex"
"Settings","Fuse","Min Blow Fuse Voltage","3500","mV"
"Settings","Fuse","Fuse Blow Timeout","30","s"
"Settings","BTP","Init Discharge Set","150","mAh"
"Settings","BTP","Init Charge Set","175","mAh"
"Settings","SMBus","Address","16","-"
"Settings","SMBus","Address Check","ea","-"
"Settings","Protection","Protection Configuration","02","hex"
"Settings","Protection","Enabled Protections A","ff","hex"
"Settings","Protection","Enabled Protections B","7f","hex"
"Settings","Protection","Enabled Protections C","41","hex"
"Settings","Protection","Enabled Protections D","0d","hex"
"Settings","Permanent Failure","Enabled PF A","00","hex"
"Settings","Permanent Failure","Enabled PF B","00","hex"
"Settings","Permanent Failure","Enabled PF C","00","hex"
"Settings","Permanent Failure","Enabled PF D","00","hex"
"Settings","AFE","AFE Protection Control","70","hex"
"Settings","AFE","ZVCHG Exit Threshold","2000","mV"
"Settings","Manufacturing","Mfg Status init","0018","hex"
"Advanced Charge Algorithm","Temperature Ranges","T1 Temp","0.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T2 Temp","10.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T5 Temp","25.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T6 Temp","40.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T3 Temp","48.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T4 Temp","50.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","Hysteresis Temp","1.0","°C"
"Advanced Charge Algorithm","Low Temp Charging","Voltage","4150","mV"
"Advanced Charge Algorithm","Low Temp Charging","Current Low","1000","mA"
"Advanced Charge Algorithm","Low Temp Charging","Current Med","1000","mA"
"Advanced Charge Algorithm","Low Temp Charging","Current High","1000","mA"
"Advanced Charge Algorithm","Standard Temp Low Charging","Voltage","4200","mV"
"Advanced Charge Algorithm","Standard Temp Low Charging","Current Low","3000","mA"
"Advanced Charge Algorithm","Standard Temp Low Charging","Current Med","3000","mA"
"Advanced Charge Algorithm","Standard Temp Low Charging","Current High","3000","mA"
"Advanced Charge Algorithm","Standard Temp High Charging","Voltage","4200","mV"
"Advanced Charge Algorithm","Standard Temp High Charging","Current Low","1000","mA"
"Advanced Charge Algorithm","Standard Temp High Charging","Current Med","1000","mA"
"Advanced Charge Algorithm","Standard Temp High Charging","Current High","1000","mA"
"Advanced Charge Algorithm","High Temp Charging","Voltage","4100","mV"
"Advanced Charge Algorithm","High Temp Charging","Current Low","1000","mA"
"Advanced Charge Algorithm","High Temp Charging","Current Med","1000","mA"
"Advanced Charge Algorithm","High Temp Charging","Current High","1000","mA"
"Advanced Charge Algorithm","Rec Temp Charging","Voltage","4200","mV"
"Advanced Charge Algorithm","Rec Temp Charging","Current Low","3000","mA"
"Advanced Charge Algorithm","Rec Temp Charging","Current Med","3000","mA"
"Advanced Charge Algorithm","Rec Temp Charging","Current High","3000","mA"
"Advanced Charge Algorithm","Pre-Charging","Current","1000","mA"
"Advanced Charge Algorithm","Maintenance Charging","Current","1000","mA"
"Advanced Charge Algorithm","Voltage Range","Precharge Start Voltage","2500","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage Low","3000","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage Med","3600","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage High","4000","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage Hysteresis","0","mV"
"Advanced Charge Algorithm","SoC Range","Charging SoC Med","50","%"
