* Texas Instruments Data Flash File
* File created Wed Dec 04 18:20:13 2024
*
* Device Number 4500
* Firmware Version 2.08
* Build Number 50
* Order Number 0
*
* bqz Device Number 4500
* bqz Firmware Version 2.08
* bqz Build Number 50
*
* Field Order: Class name, Subclass name, Parameter name, Parameter Value, Display Units
"Calibration","Current Offset","CC Auto Config","03","hex"
"Calibration","Current Offset","CC Auto Offset","0","-"
"Settings","Configuration","Temperature Enable","09","hex"
"Settings","Configuration","Temperature Mode","01","hex"
"Settings","Configuration","DA Configuration","0017","hex"
"Settings","Configuration","IT Gauging Configuration","d1df","hex"
"Settings","Configuration","IT Gauging Ext","001a","hex"
"Settings","Configuration","SOC Flag Config A","0c23","hex"
"Settings","Configuration","SOC Flag Config B","23","hex"
"Settings","Configuration","Balancing Configuration","05","hex"
"Settings","AFE","ZVCHG Exit Threshold","2000","mV"
"Settings","Manufacturing","Mfg Status init","0018","hex"
"Advanced Charge Algorithm","Temperature Ranges","T1 Temp","0.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T2 Temp","10.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T5 Temp","25.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T6 Temp","40.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T3 Temp","48.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T4 Temp","50.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","Hysteresis Temp","1.0","°C"
"Advanced Charge Algorithm","Pre-Charging","Current","1000","mA"
"Advanced Charge Algorithm","Maintenance Charging","Current","1000","mA"
"Advanced Charge Algorithm","Voltage Range","Precharge Start Voltage","2500","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage Low","3000","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage Med","3600","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage High","4000","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage Hysteresis","0","mV"
"Advanced Charge Algorithm","Low Temp Charging","Voltage","4150","mV"
"Advanced Charge Algorithm","Low Temp Charging","Current Low","1000","mA"
"Advanced Charge Algorithm","Low Temp Charging","Current Med","1000","mA"
"Advanced Charge Algorithm","Low Temp Charging","Current High","1000","mA"
"Advanced Charge Algorithm","Standard Temp Low Charging","Voltage","4200","mV"
"Advanced Charge Algorithm","Standard Temp Low Charging","Current Low","6000","mA"
"Advanced Charge Algorithm","Standard Temp Low Charging","Current Med","6000","mA"
"Advanced Charge Algorithm","Standard Temp Low Charging","Current High","6000","mA"
"Advanced Charge Algorithm","Standard Temp High Charging","Voltage","4200","mV"
"Advanced Charge Algorithm","Standard Temp High Charging","Current Low","3000","mA"
"Advanced Charge Algorithm","Standard Temp High Charging","Current Med","3000","mA"
"Advanced Charge Algorithm","Standard Temp High Charging","Current High","3000","mA"
"Advanced Charge Algorithm","High Temp Charging","Voltage","4100","mV"
"Advanced Charge Algorithm","High Temp Charging","Current Low","1000","mA"
"Advanced Charge Algorithm","High Temp Charging","Current Med","1000","mA"
"Advanced Charge Algorithm","High Temp Charging","Current High","1000","mA"
"Advanced Charge Algorithm","Rec Temp Charging","Voltage","4200","mV"
"Advanced Charge Algorithm","Rec Temp Charging","Current Low","6000","mA"
"Advanced Charge Algorithm","Rec Temp Charging","Current Med","6000","mA"
"Advanced Charge Algorithm","Rec Temp Charging","Current High","6000","mA"
"Advanced Charge Algorithm","Pre-Charging","Current","1000","mA"
"Advanced Charge Algorithm","Maintenance Charging","Current","1000","mA"
"Advanced Charge Algorithm","Cell Balancing Config","Bal Time/mAh Cell 1","367","s/mAh"
"Advanced Charge Algorithm","Cell Balancing Config","Bal Time/mAh Cell 2-4","514","s/mAh"
"Advanced Charge Algorithm","Cell Balancing Config","Min Start Balance Delta","4","mV"
"Advanced Charge Algorithm","Cell Balancing Config","Relax Balance Interval","18000","s"
"Advanced Charge Algorithm","Cell Balancing Config","Min Rsoc for Balancing","40","%"
"Advanced Charge Algorithm","Cell Balancing Config","Start Rsoc for Bal in Sleep","95","%"
"Advanced Charge Algorithm","Cell Balancing Config","End Rsoc for Bal in Sleep","60","%"
"Advanced Charge Algorithm","Cell Balancing Config","Start Time for Bal in Sleep","100","hrs"
"Power","Shutdown","Shutdown Voltage","2000","mV"
"Power","Shutdown","Shutdown Time","10","s"
"Power","Shutdown","PF Shutdown Voltage","2000","mV"
"Power","Shutdown","PF Shutdown Time","10","s"
"Power","Shutdown","PS Shutdown Voltage","2000","mV"
"Power","Shutdown","PS NoLoadResCap Threshold","0","mAh"
"Power","Shutdown","Charger Present Threshold","3000","mV"
"Power","Shutdown","Valid Wake up Comm Check Delay","100","s"
"Power","Sleep","Sleep Current","10","mA"
"Power","Sleep","Bus Timeout","5","s"
"Power","Sleep","Voltage Time","5","s"
"Power","Sleep","Current Time","20","s"
